interpro_id,keywords
IPR000001,kringle
IPR000003,"nuclear steroid,steroid receptor,steroid,receptor activity,retinoid x,receptorhnf4,x receptorhnf4,zinc ion,templated transcription,dna templated,templated,retinoid,zinc,nucleus,nuclear,of dna,of rna,rna biosynthetic,of macromolecule,transducer activity,molecular transducer,transducer,transition metal,transition,of nucleobase,signaling receptor,of gene,of biosynthetic,of nitrogen,of primary,cation binding,of metabolic"
IPR000006,"vertebrate,metallothionein,cation binding"
IPR000007,tubby
IPR000008,"c2 domain,c2"
IPR000009,"protein phosphatase,phosphatase regulator,2a,2a complex,type 2a,phosphatase complex,phosphatase type,phosphatase,regulator activity,subunit pr55,pr55,2a regulatory,phosphatase 2a,serinethreonine phosphatase,regulatory subunit,protein serinethreonine,serinethreonine,regulatory,enzyme regulator,catalytic complex,function regulator,function,enzyme"
IPR000010,"inhibitor activity,inhibitor,endopeptidase inhibitor,endopeptidase,cysteine type,regulator activity,type endopeptidase,cysteine,cystatin domain,cystatin,function,enzyme,peptidase,endopeptidase regulator,peptidase regulator,peptidase inhibitor,enzyme inhibitor,function inhibitor,enzyme regulator,function regulator"
IPR000011,"activating enzyme,modifier activating,like modifier,enzyme activity,modifier,activating,e1 like,enzyme,ubiquitin like,ubiquitinsumo,ubiquitinsumo activating,modification,ligase activity,ubiquitin,modification process,protein modification,enzyme e1,ligase,sulfur bonds,carbon sulfur,e1,forming carbon,dependent activity,forming,atp dependent,sulfur,macromolecule modification,a protein"
IPR000012,"host,host intracellular,host cell,cell nucleus,part,viral,viral life,life cycle,life,vprvpx,vprvpx protein,retroviral vprvpx,cycle,retroviral,intracellular part,intracellular region,nucleus,cell part,host cellular,viral process,region"
IPR000013,"metalloendopeptidase activity,metalloendopeptidase,peptidase m7,m7,snapalysin,zinc ion,proteolysis,extracellular region,zinc,extracellular,peptidase,region,metallopeptidase activity,metallopeptidase,endopeptidase activity,endopeptidase,peptidase activity,transition metal,transition,cation binding,a protein"
IPR000014,"pas domain,pas"
IPR000015,"usher,porin activity,fimbrial usher,usher porin,porin,pilus,pilus assembly,fimbrial,assembly,cell projection,projection,organization,usher protein,channel activity,membrane usher,transporter activity,channel,pilus organization,wide,wide pore,pore channel,transmembrane transporter,component organization,biogenesis,projection assembly,projection organization,pore,passive transmembrane,passive,outer membrane,outer,component assembly,component biogenesis,organization or,or biogenesis"
IPR000018,"transepithelial,nucleotide receptor,transepithelial chloride,purinergic,purinergic nucleotide,chloride transport,receptor activity,chloride,coupled purinergic,protein coupled,g protein,coupled,coupled receptor,anion transport,purinoceptor 4,transepithelial transport,p2y purinoceptor,p2y,receptor signaling,signaling pathway,monoatomic,purinoceptor,pathway,signaling receptor,monoatomic anion,inorganic anion,transmembrane signaling,ion transport,molecular transducer,transducer activity,transducer,inorganic,monoatomic ion,transduction,signal transduction,cell communication,communication,signal"
IPR000020,"anaphylatoxinfibulin,extracellular region,extracellular,region"
IPR000021,"cell toxic,hokgef,hokgef cell,toxic protein,toxic"
IPR000023,"catabolic process,catabolic,diphosphate,phosphofructokinase,diphosphate catabolic,phosphofructokinase activity,ribonucleoside diphosphate,diphosphate metabolic,nucleoside diphosphate,triphosphate metabolic,pyridine,compound catabolic,purine,nucleotide catabolic,6 phosphofructokinase,nucleotide metabolic,purine nucleoside,glycolytic process,glycolytic,ribonucleoside,ribonucleotide catabolic,pyridine nucleotide,pyridine containing,adp,nucleoside triphosphate,triphosphate,ribonucleotide,phosphofructokinase domain,ribonucleotide metabolic,purine containing,purine ribonucleoside,phosphate metabolic,organophosphate,kinase activity,purine ribonucleotide,ribonucleoside triphosphate,kinase,purine nucleotide,adp catabolic,adp metabolic,carbohydrate kinase,pyruvate metabolic,phosphate catabolic,organophosphate catabolic,nicotinamide nucleotide,nicotinamide,atp metabolic,derivative catabolic,pyruvate,carbohydrate catabolic,heterocycle catabolic,ribose phosphate,ribose,monocarboxylic,monocarboxylic acid,metabolites and,precursor metabolites,of precursor,metabolites,and energy,energy,generation of,precursor,generation,containing small,cellular catabolic,derivative metabolic,alcohol group,organophosphate metabolic,carbohydrate metabolic,group as,substance catabolic,phosphotransferase activity,alcohol,phosphotransferase,phosphate containing,phosphorus metabolic,oxoacid metabolic,oxoacid,carboxylic acid,organic acid,carboxylic,transferring phosphorus,and,containing groups,as acceptor,acceptor"
IPR000025,"melatonin receptor,melatonin,receptor activity,coupled receptor,protein coupled,g protein,coupled,receptor signaling,signaling pathway,pathway,signaling receptor,receptor family,transmembrane signaling,transducer activity,molecular transducer,transducer,transduction,signal transduction,cell communication,communication,signal"
IPR000026,"endonuclease activity,rna endonuclease,endonuclease,ribonuclease sa,sa like,sa,guanine specific,nuclease activity,nuclease,rna binding,specific ribonuclease,rna nuclease,guanine,ribonuclease,specific,on rna,on ester,ester bonds,ester,a nucleic"
IPR000028,"peroxidase activity,peroxidase,chloroperoxidase,on peroxide,peroxide as,peroxide,antioxidant activity,antioxidant,as acceptor,acceptor"
IPR000030,"ppe domain,ppe"
IPR000031,"monophosphate,imp,ribonucleoside monophosphate,monophosphate biosynthetic,monophosphate metabolic,imp biosynthetic,nucleoside monophosphate,novo imp,purine,novo,de novo,de,ribonucleotide biosynthetic,ribonucleotide,ribonucleoside,nucleotide biosynthetic,purine nucleoside,pure domain,ribonucleotide metabolic,ribose phosphate,phosphate biosynthetic,ribose,purine containing,nucleotide metabolic,pure,phosphate metabolic,organophosphate,imp metabolic,purine ribonucleoside,purine ribonucleotide,purine nucleotide,derivative biosynthetic,organophosphate biosynthetic,containing small,derivative metabolic,organophosphate metabolic,phosphate containing,phosphorus metabolic"
IPR000032,"phosphocarrier protein,phosphocarrier,protein hpr,hpr like,hpr"
IPR000033,"ldlr,ldlr class,b repeat,class b,class,repeat"
IPR000034,"laminin iv,laminin,iv"
IPR000035,"alkylbase,alkylbase dna,dna n,glycosylase activity,n glycosylase,glycosylase,dna glycosidase,dna repair,repair,glycosyl,glycosidase,to stress,stress,n glycosyl,hydrolyzing n,glycosyl compounds,glycosyl bonds,on glycosyl,hydrolyzing,damage response,dna damage,damage,on dna,compounds,dna metabolic,conserved site,a nucleic,conserved,site"
IPR000036,"cell outer,outer membrane,outer,a26,peptidase a26,endopeptidase activity,omptin,proteolysis,endopeptidase,envelope,peptidase,cell envelope,external encapsulating,encapsulating structure,encapsulating,external,cell periphery,peptidase activity,periphery,a protein"
IPR000037,"ssra binding,ssra,rna binding,binding protein"
IPR000039,"ribosome,structural,el18,protein el18,of ribosome,constituent of,structural constituent,constituent,translation,amide,non membrane,non,peptide,large ribosomal,large,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,molecule activity,structural molecule,amide biosynthetic,amide metabolic,ribosomal,intracellular non"
IPR000040,"acute myeloid,aml1runt,leukemia 1,protein aml1runt,myeloid leukemia,ribonucleotide binding,templated transcription,acute,ribonucleotide,dna templated,templated,nucleotide binding,purine,myeloid,leukemia,atp binding,nucleus,adenyl,of dna,of rna,1 protein,rna biosynthetic,of macromolecule,adenyl ribonucleotide,adenyl nucleotide,triphosphate binding,of nucleobase,derivative binding,purine ribonucleoside,of gene,of biosynthetic,of nitrogen,of primary,purine ribonucleotide,ribonucleoside triphosphate,triphosphate,anion binding,of metabolic,ribonucleoside,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,molecule binding"
IPR000043,"adenosylhomocysteinase,adenosylhomocysteinase like"
IPR000044,
IPR000045,"aspartic type,aspartic,endopeptidase,endopeptidase activity,iv endopeptidase,type endopeptidase,peptidase,prepilin type,prepilin,peptidase activity,peptidase domain,type iv,iv,type peptidase,a protein"
