,label,count,label_clean
1,active site,13797865,active site
2,dimer interface,8665659,dimer interface
3,ATP binding site,7448589,atp binding site
4,ACT_SITE: Proton acceptor.,5320682,act_site: proton acceptor
5,METAL: Magnesium.,5301767,metal: magnesium
6,BINDING: Substrate.,4306915,binding: substrate
7,putative active site,3593063,active site
8,BINDING: NAD.,3552442,binding: nad
9,NP_BIND: ATP.,3040416,np_bind: atp
10,homodimer interface,3021109,homodimer interface
11,METAL: Calcium.,2884170,metal: calcium
12,substrate binding site,2850358,substrate binding site
13,NP_BIND: NAD.,2826270,np_bind: nad
14,ACT_SITE: Proton donor.,2698376,act_site: proton donor
15,MOD_RES: N6-(pyridoxal phosphate)lysine.,2538645,mod_res: n6 (pyridoxal phosphate)lysine
16,ACT_SITE: Nucleophile.,2360495,act_site: nucleophile
17,BINDING: ATP.,2344831,binding: atp
18,metal binding site,2343204,metal binding site
19,NP_BIND: NADP.,2080678,np_bind: nadp
20,ABC transporter signature motif,2059447,abc transporter signature motif
21,Walker B,2057552,walker b
22,D-loop,2038600,d loop
23,NP_BIND: GTP.,2034837,np_bind: gtp
24,Q-loop/lid,2014302,q loop/lid
25,DNA binding site,1973905,dna binding site
26,H-loop/switch region,1926867,h loop/switch region
27,Walker A/P-loop,1914985,walker a/p loop
28,phosphorylation site,1891686,phosphorylation site
29,BINDING: S-adenosyl-L-methionine.,1804905,binding: s adenosyl l methionine
30,S-adenosylmethionine binding site,1792910,s adenosylmethionine binding site
31,BINDING: NADP.,1764049,binding: nadp
32,NP_BIND: FAD.,1710081,np_bind: fad
33,catalytic residue,1708384,catalytic residue
34,catalytic residues,1677169,catalytic residues
35,ABC-ATPase subunit interface,1660192,abc atpase subunit interface
36,BINDING: FAD.,1618591,binding: fad
37,CROSSLNK: Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin).,1421549,crosslnk: glycyl lysine isopeptide (lys gly) (interchain with g cter in ubiquitin)
38,Binds [4Fe-4S]-AdoMet cluster,1322540,binds [4fe 4s] adomet cluster
39,catalytic site,1315701,catalytic site
40,sequence-specific DNA binding site,1293774,sequence specific dna binding site
41,Walker A motif,1200233,walker a motif
42,salt bridge,1199024,salt bridge
43,BINDING: ADP; via amide nitrogen.,1195168,binding: adp; via amide nitrogen
44,Walker B motif,1178712,walker b motif
45,trimer interface,1166785,trimer interface
46,METAL: Magnesium; via carbonyl oxygen.,1153684,metal: magnesium; via carbonyl oxygen
47,ATP-lid,1142605,atp lid
48,dimerization interface,1141064,dimerization interface
49,G3 box,1129158,g3 box
50,Switch II region,1119910,switch ii region
51,non-specific DNA binding site,1115750,non specific dna binding site
52,G2 box,1113884,g2 box
53,ligand binding site,1108687,ligand binding site
54,BINDING: ADP.,1107531,binding: adp
55,RNA binding site,1105888,rna binding site
56,Switch I region,1103586,switch i region
57,conserved gate region,1089626,conserved gate region
58,DNA binding residues,1066679,dna binding residues
59,METAL: Zinc; catalytic.,1066012,metal: zinc; catalytic
60,REGION: Substrate binding.,1058618,region: substrate binding
61,G1 box,1049569,g1 box
62,G4 box,1043940,g4 box
63,hexamer interface,1001398,hexamer interface
64,BINDING: NAD; via amide nitrogen.,1000778,binding: nad; via amide nitrogen
65,METAL: Zinc.,987065,metal: zinc
66,putative PBP binding loops,972746,pbp binding loops
67,G5 box,961082,g5 box
68,pyridoxal 5'-phosphate binding site,948813,pyridoxal 5' phosphate binding site
69,arginine finger,938333,arginine finger
70,METAL: Iron-sulfur 2 (4Fe-4S).,936435,metal: iron sulfur 2 (4fe 4s)
71,BINDING: ADP; via carbonyl oxygen.,923799,binding: adp; via carbonyl oxygen
72,GTP/Mg2+ binding site,915097,gtp/mg2+ binding site
73,DISULFID: Redox-active.,860948,disulfid: redox active
74,BINDING: Substrate; via amide nitrogen.,847411,binding: substrate; via amide nitrogen
75,METAL: Iron-sulfur (4Fe-4S-S-AdoMet).,823473,metal: iron sulfur (4fe 4s s adomet)
76,catalytic triad,809002,catalytic triad
77,NP_BIND: ADP.,795770,np_bind: adp
78,Coenzyme A binding pocket,783942,coenzyme a binding pocket
79,FeS/SAM binding site,778987,fes/sam binding site
80,heterodimer interface,774850,heterodimer interface
