length,charge,hydrophobicity,max_identity
13,6,-1.1076923076923075,0.0
11,1,1.1999999999999997,0.0
67,5,-0.882089552238806,88.9
57,0,0.1526315789473685,0.0
89,10,-0.6719101123595506,93.4
95,-11,0.07473684210526321,93.6
91,6,-0.6978021978021978,92.8
13,5,-1.169230769230769,0.0
30,6,-1.26,0.0
66,11,-0.9939393939393939,86.5
56,10,-0.9821428571428571,96.3
73,-6,-0.7493150684931507,90.9
67,-2,-0.21791044776119403,93.7
89,6,-0.696629213483146,93.4
54,8,-0.9481481481481483,100.0
66,14,-1.0227272727272727,89.6
22,5,-0.9636363636363634,100.0
84,4,-0.292857142857143,90.8
13,4,0.06153846153846166,0.0
56,10,-0.8678571428571429,96.7
11,5,-2.518181818181818,0.0
14,-2,1.1285714285714288,0.0
22,0,0.8363636363636364,0.0
95,-4,0.13894736842105262,91.5
12,4,0.75,0.0
87,16,-0.728735632183908,85.9
12,6,-1.9666666666666666,0.0
90,2,-0.2066666666666667,93.6
13,4,0.06153846153846166,0.0
71,-1,-0.18169014084507037,100.0
65,12,-0.20615384615384608,91.8
63,15,-0.7587301587301587,97.9
13,3,-0.3461538461538461,0.0
77,8,-0.7584415584415585,87.6
54,8,-1.1925925925925926,96.7
97,10,-0.6185567010309279,92.8
88,7,-0.4897727272727272,94.2
89,8,-0.8370786516853934,93.8
62,10,0.6548387096774193,68.5
21,6,0.20476190476190476,0.0
90,-3,-0.6488888888888888,87.8
98,-12,-0.12346938775510209,93.1
95,-11,0.07473684210526321,93.6
44,16,-0.9863636363636364,93.8
91,6,-0.6978021978021978,92.8
11,3,-0.49090909090909096,0.0
94,10,-0.8095744680851065,93.1
95,-5,0.09052631578947373,93.5
11,-2,-0.6,0.0
89,6,-0.696629213483146,93.4
14,1,1.0142857142857145,0.0
76,5,-0.39605263157894727,93.5
70,-8,-0.6500000000000001,87.2
90,-3,-0.6488888888888888,87.8
95,-7,-0.10210526315789466,92.6
89,-10,-0.2786516853932584,89.8
12,4,0.4833333333333331,0.0
21,6,-1.4047619047619047,0.0
77,8,-0.7584415584415585,87.6
94,-2,-0.4510638297872342,98.4
45,3,-0.6977777777777778,84.8
87,16,-0.7712643678160922,88.6
19,-4,0.5421052631578946,100.0
67,4,-0.5134328358208956,86.9
50,7,-1.058,100.0
98,-2,1.2948979591836736,84.4
96,10,-0.6177083333333333,92.8
99,2,1.3777777777777778,82.7
69,2,1.0420289855072462,86.9
70,15,-0.37000000000000005,89.6
87,8,-0.93448275862069,93.4
78,0,-0.9461538461538459,88.4
70,-7,-0.5042857142857143,90.1
84,1,-0.024999999999999994,93.4
99,7,-0.3717171717171718,93.7
98,-1,1.2112244897959183,88.4
98,-2,1.245918367346939,87.3
72,-1,-0.3597222222222223,93.0
11,4,0.036363636363636216,0.0
100,3,1.088,87.1
